name_as_published,n_sources,sources,occurrences,district_id,label_type,normalised_key,display_name
Kandhamal,20,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 5. 8; OES_2026:Table 6.2; OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; earas_report_2024_25:tables_5.x; price_stats_2020_pdf,772,OD16,district,KANDHAMAL,Kandhamal
Kendrapada,6,OES_2026:Table 5. 8; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:tables_5.x,238,OD17,district,KENDRAPADA,Kendrapara
Kendrapara,16,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 6.2; OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; price_stats_2020_pdf,479,OD17,district,KENDRAPARA,Kendrapara
Keonjhar,21,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 5. 8; OES_2026:Table 5. 9; OES_2026:Table 6.2; OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; earas_report_2024_25:tables_5.x; price_stats_2020_pdf,797,OD18,district,KEONJHAR,Keonjhar
Keunjhor,2,earas_report_2022_23:district_tables; earas_report_2023_24:district_tables,4,OD18,district,KEUNJHOR,Keonjhar
Khordha,7,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 5. 8; OES_2026:Table 6.2,8,OD19,district,KHORDHA,Khordha
Khurda,13,OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; earas_report_2024_25:tables_5.x; price_stats_2020_pdf,727,OD19,district,KHURDA,Khordha
Koraput,21,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 5. 8; OES_2026:Table 5. 9; OES_2026:Table 6.2; OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; earas_report_2024_25:tables_5.x; price_stats_2020_pdf,813,OD20,district,KORAPUT,Koraput
MALKANGIRI,2,earas_2022_23:blockwise_LUS_202223; earas_2022_23:distwise_minorcrops_AYP2022-23,123,OD21,district,MALKANGIRI,Malkangiri
MAYURBHANJ,2,earas_2022_23:blockwise_LUS_202223; earas_2022_23:distwise_minorcrops_AYP2022-23,351,OD22,district,MAYURBHANJ,Mayurbhanj
Malakangiri,2,earas_report_2022_23:district_tables; earas_report_2023_24:district_tables,16,OD21,district,MALAKANGIRI,Malkangiri
Malkanagir,2,earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_paddy_AYP_2023_24,48,OD21,district,MALKANAGIR,Malkangiri
Malkanagiri,2,earas_report_2022_23:district_tables; earas_report_2023_24:district_tables,4,OD21,district,MALKANAGIRI,Malkangiri
Malkangiri,18,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 5. 8; OES_2026:Table 6.2; OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; earas_report_2024_25:tables_5.x; price_stats_2020_pdf,615,OD21,district,MALKANGIRI,Malkangiri
Mayurbhanj,17,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 5. 8; OES_2026:Table 6.2; OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; price_stats_2020_pdf,774,OD22,district,MAYURBHANJ,Mayurbhanj
Mayurbhanja,6,OES_2026:Table 5. 9; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:tables_5.x,257,OD22,district,MAYURBHANJA,Mayurbhanj
NAWARANGPUR,1,earas_2022_23:distwise_minorcrops_AYP2022-23,27,OD23,district,NAWARANGPUR,Nabarangpur
NAYAGARH,2,earas_2022_23:blockwise_LUS_202223; earas_2022_23:distwise_minorcrops_AYP2022-23,135,OD24,district,NAYAGARH,Nayagarh
NOWARAGPUR,1,earas_2022_23:blockwise_LUS_202223,132,OD23,district,NOWARAGPUR,Nabarangpur
NUAPADA,2,earas_2022_23:blockwise_LUS_202223; earas_2022_23:distwise_minorcrops_AYP2022-23,99,OD25,district,NUAPADA,Nuapada
