reference_year,crop,product,season,measure,unit,raw_value,value,cell_status,source_report,report_year,table_no,pdf_page
2012-13,Groundnut,groundnut,Autumn,yield_rate,qtl/ha,10.52,10.52,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2012-13,Groundnut,groundnut,Winter,yield_rate,qtl/ha,12.60,12.60,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2012-13,Groundnut,groundnut,Summer,yield_rate,qtl/ha,13.45,13.45,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2012-13,Groundnut,groundnut,Total,yield_rate,qtl/ha,12.31,12.31,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2012-13,Groundnut,groundnut,Autumn,production,qtl,264909,264909,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2012-13,Groundnut,groundnut,Winter,production,qtl,31345,31345,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2012-13,Groundnut,groundnut,Summer,production,qtl,520280,520280,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2012-13,Groundnut,groundnut,Total,production,qtl,816534,816534,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2013-14,Groundnut,groundnut,Autumn,area,ha,24161,24161,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2013-14,Groundnut,groundnut,Winter,area,ha,1669,1669,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2013-14,Groundnut,groundnut,Summer,area,ha,34063,34063,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2013-14,Groundnut,groundnut,Total,area,ha,59893,59893,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2013-14,Groundnut,groundnut,Autumn,yield_rate,qtl/ha,10.93,10.93,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2013-14,Groundnut,groundnut,Winter,yield_rate,qtl/ha,13.85,13.85,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2013-14,Groundnut,groundnut,Summer,yield_rate,qtl/ha,17.04,17.04,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2013-14,Groundnut,groundnut,Total,yield_rate,qtl/ha,14.49,14.49,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2013-14,Groundnut,groundnut,Autumn,production,qtl,264099,264099,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2013-14,Groundnut,groundnut,Winter,production,qtl,23109,23109,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2013-14,Groundnut,groundnut,Summer,production,qtl,580460,580460,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2013-14,Groundnut,groundnut,Total,production,qtl,867668,867668,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2014-15,Groundnut,groundnut,Autumn,area,ha,20519,20519,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2014-15,Groundnut,groundnut,Winter,area,ha,1916,1916,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2014-15,Groundnut,groundnut,Summer,area,ha,26407,26407,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2014-15,Groundnut,groundnut,Total,area,ha,48842,48842,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2014-15,Groundnut,groundnut,Autumn,yield_rate,qtl/ha,10.32,10.32,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2014-15,Groundnut,groundnut,Winter,yield_rate,qtl/ha,10.10,10.10,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2014-15,Groundnut,groundnut,Summer,yield_rate,qtl/ha,14.71,14.71,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2014-15,Groundnut,groundnut,Total,yield_rate,qtl/ha,12.68,12.68,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2014-15,Groundnut,groundnut,Autumn,production,qtl,211777,211777,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
