reference_year,source_report,pdf_page,table_no,sl_no,district_as_published,is_state_total,land_use_category,measure,unit,raw_value,value,cell_status
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,3,Balasore,0,Land under misc. tree crops & groves not included in net area sown,pct_of_area_under_survey,%,2.87,2.87,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,3,Balasore,0,Cultivable waste,area,'000 ha,22,22,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,3,Balasore,0,Cultivable waste,pct_of_area_under_survey,%,6.30,6.30,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,3,Balasore,0,Old fallows,area,'000 ha,15,15,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,3,Balasore,0,Old fallows,pct_of_area_under_survey,%,4.30,4.30,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,3,Balasore,0,Current fallows,area,'000 ha,24,24,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,3,Balasore,0,Current fallows,pct_of_area_under_survey,%,6.88,6.88,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,3,Balasore,0,Net area sown,area,'000 ha,188,188,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,3,Balasore,0,Net area sown,pct_of_area_under_survey,%,53.87,53.87,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,3,Balasore,0,Total area under survey,area,'000 ha,349,349,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,3,Balasore,0,Total area under survey,pct_of_geographical_area,%,95.88,95.88,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,3,Balasore,0,Area not included under survey,area,'000 ha,15,15,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,3,Balasore,0,Geographical area,area,'000 ha,364,364,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,4,Bargarh,0,Forest,area,'000 ha,25,25,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,4,Bargarh,0,Forest,pct_of_area_under_survey,%,5.31,5.31,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,4,Bargarh,0,Land put to non-agricultural uses,area,'000 ha,58,58,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,4,Bargarh,0,Land put to non-agricultural uses,pct_of_area_under_survey,%,12.31,12.31,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,4,Bargarh,0,Barren and un-cultivable land,area,'000 ha,8,8,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,4,Bargarh,0,Barren and un-cultivable land,pct_of_area_under_survey,%,1.70,1.70,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,4,Bargarh,0,Permanent pastures and other grazing land,area,'000 ha,17,17,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,4,Bargarh,0,Permanent pastures and other grazing land,pct_of_area_under_survey,%,3.61,3.61,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,4,Bargarh,0,Land under misc. tree crops & groves not included in net area sown,area,'000 ha,1,1,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,4,Bargarh,0,Land under misc. tree crops & groves not included in net area sown,pct_of_area_under_survey,%,0.21,0.21,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,4,Bargarh,0,Cultivable waste,area,'000 ha,16,16,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,4,Bargarh,0,Cultivable waste,pct_of_area_under_survey,%,3.40,3.40,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,4,Bargarh,0,Old fallows,area,'000 ha,33,33,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,4,Bargarh,0,Old fallows,pct_of_area_under_survey,%,7.01,7.01,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,4,Bargarh,0,Current fallows,area,'000 ha,24,24,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,4,Bargarh,0,Current fallows,pct_of_area_under_survey,%,5.10,5.10,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,4,Bargarh,0,Net area sown,area,'000 ha,289,289,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,4,Bargarh,0,Net area sown,pct_of_area_under_survey,%,61.36,61.36,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,4,Bargarh,0,Total area under survey,area,'000 ha,471,471,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,4,Bargarh,0,Total area under survey,pct_of_geographical_area,%,80.79,80.79,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,4,Bargarh,0,Area not included under survey,area,'000 ha,112,112,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,4,Bargarh,0,Geographical area,area,'000 ha,583,583,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,5,Bhadrak,0,Forest,area,'000 ha,3,3,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,5,Bhadrak,0,Forest,pct_of_area_under_survey,%,1.26,1.26,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,5,Bhadrak,0,Land put to non-agricultural uses,area,'000 ha,41,41,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,5,Bhadrak,0,Land put to non-agricultural uses,pct_of_area_under_survey,%,17.15,17.15,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,5,Bhadrak,0,Barren and un-cultivable land,area,'000 ha,3,3,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,5,Bhadrak,0,Barren and un-cultivable land,pct_of_area_under_survey,%,1.26,1.26,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,5,Bhadrak,0,Permanent pastures and other grazing land,area,'000 ha,11,11,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,5,Bhadrak,0,Permanent pastures and other grazing land,pct_of_area_under_survey,%,4.60,4.60,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,5,Bhadrak,0,Land under misc. tree crops & groves not included in net area sown,area,'000 ha,4,4,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,5,Bhadrak,0,Land under misc. tree crops & groves not included in net area sown,pct_of_area_under_survey,%,1.67,1.67,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,5,Bhadrak,0,Cultivable waste,area,'000 ha,16,16,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,5,Bhadrak,0,Cultivable waste,pct_of_area_under_survey,%,6.69,6.69,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,5,Bhadrak,0,Old fallows,area,'000 ha,12,12,ok
