reference_year,source_report,pdf_page,table_no,crop_table,product,sl_no,district_as_published,is_state_total,season,measure,unit,raw_value,value,cell_status
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,3,Balasore,0,Autumn,production,'000 MT,0.04,0.04,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,3,Balasore,0,Autumn,production,'000 MT,0.03,0.03,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,3,Balasore,0,Winter,area,'000 ha,172.70,172.70,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,3,Balasore,0,Winter,yield_rate,qtl/ha,37.27,37.27,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,3,Balasore,0,Winter,yield_rate,qtl/ha,24.60,24.60,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,3,Balasore,0,Winter,production,'000 MT,643.57,643.57,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,3,Balasore,0,Winter,production,'000 MT,424.75,424.75,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,3,Balasore,0,Summer,area,'000 ha,63.91,63.91,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,3,Balasore,0,Summer,yield_rate,qtl/ha,51.69,51.69,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,3,Balasore,0,Summer,yield_rate,qtl/ha,34.11,34.11,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,3,Balasore,0,Summer,production,'000 MT,330.36,330.36,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,3,Balasore,0,Summer,production,'000 MT,218.04,218.04,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,3,Balasore,0,Total,area,'000 ha,236.63,236.63,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,3,Balasore,0,Total,yield_rate,qtl/ha,41.16,41.16,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,3,Balasore,0,Total,yield_rate,qtl/ha,27.17,27.17,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,3,Balasore,0,Total,production,'000 MT,973.97,973.97,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,3,Balasore,0,Total,production,'000 MT,642.82,642.82,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,4,Bargarh,0,Autumn,area,'000 ha,38.20,38.20,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,4,Bargarh,0,Autumn,yield_rate,qtl/ha,31.34,31.34,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,4,Bargarh,0,Autumn,yield_rate,qtl/ha,20.68,20.68,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,4,Bargarh,0,Autumn,production,'000 MT,119.73,119.73,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,4,Bargarh,0,Autumn,production,'000 MT,79.02,79.02,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,4,Bargarh,0,Winter,area,'000 ha,216.90,216.90,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,4,Bargarh,0,Winter,yield_rate,qtl/ha,55.73,55.73,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,4,Bargarh,0,Winter,yield_rate,qtl/ha,36.78,36.78,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,4,Bargarh,0,Winter,production,'000 MT,1208.81,1208.81,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,4,Bargarh,0,Winter,production,'000 MT,797.81,797.81,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,4,Bargarh,0,Summer,area,'000 ha,100.94,100.94,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,4,Bargarh,0,Summer,yield_rate,qtl/ha,58.56,58.56,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,4,Bargarh,0,Summer,yield_rate,qtl/ha,38.65,38.65,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,4,Bargarh,0,Summer,production,'000 MT,591.09,591.09,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,4,Bargarh,0,Summer,production,'000 MT,390.12,390.12,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,4,Bargarh,0,Total,area,'000 ha,356.04,356.04,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,4,Bargarh,0,Total,yield_rate,qtl/ha,53.92,53.92,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,4,Bargarh,0,Total,yield_rate,qtl/ha,35.58,35.58,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,4,Bargarh,0,Total,production,'000 MT,1919.63,1919.63,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,4,Bargarh,0,Total,production,'000 MT,1266.95,1266.95,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,5,Bhadrak,0,Autumn,area,'000 ha,-,,dash
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,5,Bhadrak,0,Autumn,yield_rate,qtl/ha,-,,dash
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,5,Bhadrak,0,Autumn,yield_rate,qtl/ha,-,,dash
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,5,Bhadrak,0,Autumn,production,'000 MT,-,,dash
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,5,Bhadrak,0,Autumn,production,'000 MT,-,,dash
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,5,Bhadrak,0,Winter,area,'000 ha,136.20,136.20,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,5,Bhadrak,0,Winter,yield_rate,qtl/ha,34.46,34.46,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,5,Bhadrak,0,Winter,yield_rate,qtl/ha,22.74,22.74,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,5,Bhadrak,0,Winter,production,'000 MT,469.28,469.28,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,5,Bhadrak,0,Winter,production,'000 MT,309.72,309.72,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,5,Bhadrak,0,Summer,area,'000 ha,2.61,2.61,ok
