name_as_published,normalised_key,district_id,display_name,label_type,n_sources,occurrences,sources
KANDHAMAL,KANDHAMAL,OD16,Kandhamal,district,2,183,earas_2022_23:blockwise_LUS_202223; earas_2022_23:distwise_minorcrops_AYP2022-23
Kendrapara,KENDRAPARA,OD17,Kendrapara,district,16,479,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 6.2; OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; price_stats_2020_pdf
Kendrapada,KENDRAPADA,OD17,Kendrapara,district,6,238,OES_2026:Table 5. 8; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:tables_5.x
KENDRAPARA,KENDRAPARA,OD17,Kendrapara,district,2,147,earas_2022_23:blockwise_LUS_202223; earas_2022_23:distwise_minorcrops_AYP2022-23
Keonjhar,KEONJHAR,OD18,Keonjhar,district,21,797,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 5. 8; OES_2026:Table 5. 9; OES_2026:Table 6.2; OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; earas_report_2024_25:tables_5.x; price_stats_2020_pdf
KEONJHAR,KEONJHAR,OD18,Keonjhar,district,2,195,earas_2022_23:blockwise_LUS_202223; earas_2022_23:distwise_minorcrops_AYP2022-23
Keunjhor,KEUNJHOR,OD18,Keonjhar,district,2,4,earas_report_2022_23:district_tables; earas_report_2023_24:district_tables
Kendujhar,KENDUJHAR,OD18,Keonjhar,district,0,0,"curated (official/alternate spelling, not yet seen)"
Khurda,KHURDA,OD19,Khordha,district,13,727,OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; earas_report_2024_25:tables_5.x; price_stats_2020_pdf
KHURDA,KHURDA,OD19,Khordha,district,2,159,earas_2022_23:blockwise_LUS_202223; earas_2022_23:distwise_minorcrops_AYP2022-23
Khordha,KHORDHA,OD19,Khordha,district,7,8,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 5. 8; OES_2026:Table 6.2
Koraput,KORAPUT,OD20,Koraput,district,21,813,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 5. 8; OES_2026:Table 5. 9; OES_2026:Table 6.2; OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; earas_report_2024_25:tables_5.x; price_stats_2020_pdf
KORAPUT,KORAPUT,OD20,Koraput,district,2,207,earas_2022_23:blockwise_LUS_202223; earas_2022_23:distwise_minorcrops_AYP2022-23
Malkangiri,MALKANGIRI,OD21,Malkangiri,district,18,615,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 5. 8; OES_2026:Table 6.2; OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; earas_report_2024_25:tables_5.x; price_stats_2020_pdf
MALKANGIRI,MALKANGIRI,OD21,Malkangiri,district,2,123,earas_2022_23:blockwise_LUS_202223; earas_2022_23:distwise_minorcrops_AYP2022-23
Malkanagir,MALKANAGIR,OD21,Malkangiri,district,2,48,earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_paddy_AYP_2023_24
Malakangiri,MALAKANGIRI,OD21,Malkangiri,district,2,16,earas_report_2022_23:district_tables; earas_report_2023_24:district_tables
Malkanagiri,MALKANAGIRI,OD21,Malkangiri,district,2,4,earas_report_2022_23:district_tables; earas_report_2023_24:district_tables
Mayurbhanj,MAYURBHANJ,OD22,Mayurbhanj,district,17,774,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 5. 8; OES_2026:Table 6.2; OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; price_stats_2020_pdf
MAYURBHANJ,MAYURBHANJ,OD22,Mayurbhanj,district,2,351,earas_2022_23:blockwise_LUS_202223; earas_2022_23:distwise_minorcrops_AYP2022-23
Mayurbhanja,MAYURBHANJA,OD22,Mayurbhanj,district,6,257,OES_2026:Table 5. 9; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:tables_5.x
Nawarangpur,NAWARANGPUR,OD23,Nabarangpur,district,6,228,OES_2026:Table 6.7; OES_2026:Table 9.5; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:tables_5.x
Nabarangapur,NABARANGAPUR,OD23,Nabarangpur,district,1,210,price_stats_2020_pdf
NOWARAGPUR,NOWARAGPUR,OD23,Nabarangpur,district,1,132,earas_2022_23:blockwise_LUS_202223
Nowaragpur,NOWARAGPUR,OD23,Nabarangpur,district,1,132,earas_2023_24:blockwise_LUS_2023_24
Nowarangpur,NOWARANGPUR,OD23,Nabarangpur,district,5,112,earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1
Nawrangpur,NAWRANGPUR,OD23,Nabarangpur,district,4,28,earas_2023_24:dist_paddy_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:tables_5.x
NAWARANGPUR,NAWARANGPUR,OD23,Nabarangpur,district,1,27,earas_2022_23:distwise_minorcrops_AYP2022-23
Nowrangapur,NOWRANGAPUR,OD23,Nabarangpur,district,2,16,earas_report_2022_23:district_tables; earas_report_2023_24:district_tables
Nabarangpur,NABARANGPUR,OD23,Nabarangpur,district,6,6,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.6; OES_2026:Table 6.2; district_at_a_glance_2026
Nabrangpur,NABRANGPUR,OD23,Nabarangpur,district,2,6,OES_2026:Table 3.4; OES_2026:Table 5. 8
Nayagarh,NAYAGARH,OD24,Nayagarh,district,16,461,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 6.2; OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; price_stats_2020_pdf
