Year,District,Season,Minor_Crop ,Area_ha,Yield_rate_qtl_per_ha,Production_qtls
2023-24,Angul,Autumn,Wheat,,,
2023-24,Angul,Autumn,Maize,290,27.86,8079
2023-24,Angul,Autumn,Ragi,384,8.73,3352
2023-24,Angul,Autumn,Mung,519,3.84,1993
2023-24,Angul,Autumn,Biri,638,4.05,2584
2023-24,Angul,Autumn,Kulthi,,,
2023-24,Angul,Autumn,Til,234,2.25,527
2023-24,Angul,Autumn,Groundnut,445,17.35,7721
2023-24,Angul,Autumn,Mustard,,,
2023-24,Angul,Autumn,Nizer,,,
2023-24,Angul,Autumn,Jute,,,
2023-24,Angul,Autumn,Potato,,,
2023-24,Angul,Autumn,Sugarcane,,,
2023-24,Angul,Summer,Wheat,,,
2023-24,Angul,Summer,Maize,33,36.35,1200
2023-24,Angul,Summer,Ragi,5,4.22,21
2023-24,Angul,Summer,Mung,432,3.9,1685
2023-24,Angul,Summer,Biri,346,4.09,1415
2023-24,Angul,Summer,Kulthi,,,
2023-24,Angul,Summer,Til,134,2.36,316
2023-24,Angul,Summer,Groundnut,925,19.05,17621
2023-24,Angul,Summer,Mustard,,,
2023-24,Angul,Summer,Nizer,,,
2023-24,Angul,Summer,Jute,,,
2023-24,Angul,Summer,Potato,,,
2023-24,Angul,Summer,Sugarcane,,,
2023-24,Angul,Winter,Wheat,,,
2023-24,Angul,Winter,Maize,18,35.17,633
2023-24,Angul,Winter,Ragi,354,6.6,2336
2023-24,Angul,Winter,Mung,2938,3.99,11723
2023-24,Angul,Winter,Biri,2409,4.24,10214
2023-24,Angul,Winter,Kulthi,2492,4.49,11189
2023-24,Angul,Winter,Til,400,2.01,804
2023-24,Angul,Winter,Groundnut,,,
2023-24,Angul,Winter,Mustard,898,2.56,2299
2023-24,Angul,Winter,Nizer,,,
2023-24,Angul,Winter,Jute,,,
2023-24,Angul,Winter,Potato,1627,174.72,284269
2023-24,Angul,Winter,Sugarcane,15,556.67,8350
2023-24,Balangir,Autumn,Wheat,,,
2023-24,Balangir,Autumn,Maize,1694,37.56,63620
2023-24,Balangir,Autumn,Ragi,1952,4.2,8198
2023-24,Balangir,Autumn,Mung,4341,3.74,16235
2023-24,Balangir,Autumn,Biri,2174,4.4,9566
2023-24,Balangir,Autumn,Kulthi,,,
2023-24,Balangir,Autumn,Til,275,2.07,569
2023-24,Balangir,Autumn,Groundnut,1942,21.14,41054
2023-24,Balangir,Autumn,Mustard,,,
2023-24,Balangir,Autumn,Nizer,,,
2023-24,Balangir,Autumn,Jute,,,
2023-24,Balangir,Autumn,Potato,,,
2023-24,Balangir,Autumn,Sugarcane,,,
2023-24,Balangir,Summer,Wheat,,,
2023-24,Balangir,Summer,Maize,16,29.09,465
2023-24,Balangir,Summer,Ragi,,,
2023-24,Balangir,Summer,Mung,7933,3.66,29035
2023-24,Balangir,Summer,Biri,1137,3.39,3854
2023-24,Balangir,Summer,Kulthi,,,
2023-24,Balangir,Summer,Til,12,1.14,14
2023-24,Balangir,Summer,Groundnut,547,22.76,12450
2023-24,Balangir,Summer,Mustard,,,
2023-24,Balangir,Summer,Nizer,,,
2023-24,Balangir,Summer,Jute,,,
2023-24,Balangir,Summer,Potato,,,
2023-24,Balangir,Summer,Sugarcane,,,
2023-24,Balangir,Winter,Wheat,,,
2023-24,Balangir,Winter,Maize,166,33.79,5609
2023-24,Balangir,Winter,Ragi,739,3.91,2889
2023-24,Balangir,Winter,Mung,8052,3.79,30517
2023-24,Balangir,Winter,Biri,3969,3.53,14011
2023-24,Balangir,Winter,Kulthi,3603,3.77,13583
2023-24,Balangir,Winter,Til,248,1.64,407
2023-24,Balangir,Winter,Groundnut,522,22.63,11813
2023-24,Balangir,Winter,Mustard,1918,1.6,3069
2023-24,Balangir,Winter,Nizer,,,
2023-24,Balangir,Winter,Jute,,,
2023-24,Balangir,Winter,Potato,80,135.5,10840
2023-24,Balangir,Winter,Sugarcane,70,534.2,37394
2023-24,Balasore,Autumn,Wheat,,,
2023-24,Balasore,Autumn,Maize,,,
2023-24,Balasore,Autumn,Ragi,,,
2023-24,Balasore,Autumn,Mung,,,
2023-24,Balasore,Autumn,Biri,,,
2023-24,Balasore,Autumn,Kulthi,,,
2023-24,Balasore,Autumn,Til,4,2.41,10
2023-24,Balasore,Autumn,Groundnut,,,
2023-24,Balasore,Autumn,Mustard,,,
2023-24,Balasore,Autumn,Nizer,,,
2023-24,Balasore,Autumn,Jute,863,24.66,21282
2023-24,Balasore,Autumn,Potato,,,
2023-24,Balasore,Autumn,Sugarcane,,,
2023-24,Balasore,Summer,Wheat,1,19,19
2023-24,Balasore,Summer,Maize,3,25.01,75
2023-24,Balasore,Summer,Ragi,143,6.55,937
2023-24,Balasore,Summer,Mung,2426,3.78,9170
2023-24,Balasore,Summer,Biri,1400,3.4,4760
2023-24,Balasore,Summer,Kulthi,,,
2023-24,Balasore,Summer,Til,501,3.05,1528
2023-24,Balasore,Summer,Groundnut,1123,15.14,17002
2023-24,Balasore,Summer,Mustard,,,
2023-24,Balasore,Summer,Nizer,,,
2023-24,Balasore,Summer,Jute,,,
2023-24,Balasore,Summer,Potato,,,
2023-24,Balasore,Summer,Sugarcane,,,
2023-24,Balasore,Winter,Wheat,,,
2023-24,Balasore,Winter,Maize,S,36.06,
2023-24,Balasore,Winter,Ragi,149,6.48,966
2023-24,Balasore,Winter,Mung,,,
2023-24,Balasore,Winter,Biri,,,
2023-24,Balasore,Winter,Kulthi,,,
2023-24,Balasore,Winter,Til,,,
2023-24,Balasore,Winter,Groundnut,,,
2023-24,Balasore,Winter,Mustard,1015,3.28,3329
2023-24,Balasore,Winter,Nizer,,,
2023-24,Balasore,Winter,Jute,,,
2023-24,Balasore,Winter,Potato,172,142.05,24433
2023-24,Balasore,Winter,Sugarcane,31,378,11718
2023-24,Bargarh,Autumn,Wheat,,,
2023-24,Bargarh,Autumn,Maize,71,20.25,1438
2023-24,Bargarh,Autumn,Ragi,6,5.1,31
2023-24,Bargarh,Autumn,Mung,4709,3.22,15163
2023-24,Bargarh,Autumn,Biri,1444,3.25,4693
2023-24,Bargarh,Autumn,Kulthi,,,
2023-24,Bargarh,Autumn,Til,22,3.19,70
2023-24,Bargarh,Autumn,Groundnut,3806,18.73,71286
2023-24,Bargarh,Autumn,Mustard,,,
2023-24,Bargarh,Autumn,Nizer,,,
2023-24,Bargarh,Autumn,Jute,,,
2023-24,Bargarh,Autumn,Potato,,,
2023-24,Bargarh,Autumn,Sugarcane,,,
2023-24,Bargarh,Summer,Wheat,40,18.68,747
2023-24,Bargarh,Summer,Maize,42,14.6,613
2023-24,Bargarh,Summer,Ragi,517,4.55,2352
2023-24,Bargarh,Summer,Mung,3815,4.29,16366
2023-24,Bargarh,Summer,Biri,389,4.39,1708
2023-24,Bargarh,Summer,Kulthi,,,
2023-24,Bargarh,Summer,Til,65,2.61,170
2023-24,Bargarh,Summer,Groundnut,3011,20.07,60431
2023-24,Bargarh,Summer,Mustard,,,
2023-24,Bargarh,Summer,Nizer,,,
2023-24,Bargarh,Summer,Jute,,,
2023-24,Bargarh,Summer,Potato,,,
2023-24,Bargarh,Summer,Sugarcane,,,
2023-24,Bargarh,Winter,Wheat,,,
2023-24,Bargarh,Winter,Maize,95,25.13,2387
2023-24,Bargarh,Winter,Ragi,3539,4.13,14616
2023-24,Bargarh,Winter,Mung,131,4.04,529
2023-24,Bargarh,Winter,Biri,1,3.51,4
2023-24,Bargarh,Winter,Kulthi,495,4.13,2044
2023-24,Bargarh,Winter,Til,55,3.27,180
2023-24,Bargarh,Winter,Groundnut,28,26.8,750
2023-24,Bargarh,Winter,Mustard,1763,3.73,6576
2023-24,Bargarh,Winter,Nizer,,,
2023-24,Bargarh,Winter,Jute,,,
2023-24,Bargarh,Winter,Potato,501,78.74,39449
2023-24,Bargarh,Winter,Sugarcane,29,1058.22,30688
2023-24,Bhadrak,Autumn,Wheat,,,
2023-24,Bhadrak,Autumn,Maize,,,
2023-24,Bhadrak,Autumn,Ragi,,,
2023-24,Bhadrak,Autumn,Mung,,,
2023-24,Bhadrak,Autumn,Biri,1,3.89,4
2023-24,Bhadrak,Autumn,Kulthi,,,
2023-24,Bhadrak,Autumn,Til,,,
2023-24,Bhadrak,Autumn,Groundnut,,,
2023-24,Bhadrak,Autumn,Mustard,,,
2023-24,Bhadrak,Autumn,Nizer,,,
2023-24,Bhadrak,Autumn,Jute,55,16.11,886
2023-24,Bhadrak,Autumn,Potato,,,
2023-24,Bhadrak,Autumn,Sugarcane,,,
2023-24,Bhadrak,Summer,Wheat,10,12.38,124
2023-24,Bhadrak,Summer,Maize,S,22.7,
2023-24,Bhadrak,Summer,Ragi,8,1.28,10
2023-24,Bhadrak,Summer,Mung,1186,3.6,4270
2023-24,Bhadrak,Summer,Biri,540,3.48,1879
2023-24,Bhadrak,Summer,Kulthi,4,3.25,13
2023-24,Bhadrak,Summer,Til,95,2.78,264
2023-24,Bhadrak,Summer,Groundnut,22,12.41,273
2023-24,Bhadrak,Summer,Mustard,,,
2023-24,Bhadrak,Summer,Nizer,,,
2023-24,Bhadrak,Summer,Jute,,,
2023-24,Bhadrak,Summer,Potato,,,
2023-24,Bhadrak,Summer,Sugarcane,,,
2023-24,Bhadrak,Winter,Wheat,,,
2023-24,Bhadrak,Winter,Maize,S,44.46,S
2023-24,Bhadrak,Winter,Ragi,6,2.72,16
2023-24,Bhadrak,Winter,Mung,,,
2023-24,Bhadrak,Winter,Biri,135,4.61,622
2023-24,Bhadrak,Winter,Kulthi,,,
2023-24,Bhadrak,Winter,Til,,,
2023-24,Bhadrak,Winter,Groundnut,,,
2023-24,Bhadrak,Winter,Mustard,68,5.15,350
2023-24,Bhadrak,Winter,Nizer,,,
2023-24,Bhadrak,Winter,Jute,,,
2023-24,Bhadrak,Winter,Potato,7,123.82,867
2023-24,Bhadrak,Winter,Sugarcane,8,310.4,2483
2023-24,Boudh,Autumn,Wheat,,,
2023-24,Boudh,Autumn,Maize,45,9.62,433
2023-24,Boudh,Autumn,Ragi,3,5.25,16
2023-24,Boudh,Autumn,Mung,76,1.98,150
2023-24,Boudh,Autumn,Biri,4,1.91,8
2023-24,Boudh,Autumn,Kulthi,,,
2023-24,Boudh,Autumn,Til,,,
2023-24,Boudh,Autumn,Groundnut,14,12.82,179
2023-24,Boudh,Autumn,Mustard,,,
2023-24,Boudh,Autumn,Nizer,,,
2023-24,Boudh,Autumn,Jute,,,
2023-24,Boudh,Autumn,Potato,,,
2023-24,Boudh,Autumn,Sugarcane,,,
2023-24,Boudh,Summer,Wheat,,,
2023-24,Boudh,Summer,Maize,S,10.63,
2023-24,Boudh,Summer,Ragi,2,6.45,13
2023-24,Boudh,Summer,Mung,1461,3.42,4997
2023-24,Boudh,Summer,Biri,26,2.37,62
2023-24,Boudh,Summer,Kulthi,,,
2023-24,Boudh,Summer,Til,4,1.8,7
2023-24,Boudh,Summer,Groundnut,18,10.71,193
2023-24,Boudh,Summer,Mustard,,,
2023-24,Boudh,Summer,Nizer,,,
2023-24,Boudh,Summer,Jute,,,
2023-24,Boudh,Summer,Potato,,,
2023-24,Boudh,Summer,Sugarcane,,,
2023-24,Boudh,Winter,Wheat,,,
2023-24,Boudh,Winter,Maize,3,8.67,26
2023-24,Boudh,Winter,Ragi,44,4.26,187
2023-24,Boudh,Winter,Mung,1027,2.43,2496
2023-24,Boudh,Winter,Biri,517,2.44,1261
2023-24,Boudh,Winter,Kulthi,855,2.51,2146
2023-24,Boudh,Winter,Til,51,1.53,78
2023-24,Boudh,Winter,Groundnut,2,8.32,17
2023-24,Boudh,Winter,Mustard,578,1.39,803
2023-24,Boudh,Winter,Nizer,,,
2023-24,Boudh,Winter,Jute,,,
2023-24,Boudh,Winter,Potato,114,59.47,6780
2023-24,Boudh,Winter,Sugarcane,2,514,1028
2023-24,Cuttack,Autumn,Wheat,,,
2023-24,Cuttack,Autumn,Maize,57,12.57,716
2023-24,Cuttack,Autumn,Ragi,183,11.39,2084
2023-24,Cuttack,Autumn,Mung,,,
2023-24,Cuttack,Autumn,Biri,,,
2023-24,Cuttack,Autumn,Kulthi,,,
2023-24,Cuttack,Autumn,Til,,,
2023-24,Cuttack,Autumn,Groundnut,284,17.22,4890
2023-24,Cuttack,Autumn,Mustard,,,
2023-24,Cuttack,Autumn,Nizer,,,
2023-24,Cuttack,Autumn,Jute,307,34.45,10576
2023-24,Cuttack,Autumn,Potato,,,
2023-24,Cuttack,Autumn,Sugarcane,,,
2023-24,Cuttack,Summer,Wheat,,,
2023-24,Cuttack,Summer,Maize,105,37.26,3912
2023-24,Cuttack,Summer,Ragi,,,
2023-24,Cuttack,Summer,Mung,28752,5.1,146635
2023-24,Cuttack,Summer,Biri,2118,5.2,11014
2023-24,Cuttack,Summer,Kulthi,5,5.24,26
2023-24,Cuttack,Summer,Til,63,2.09,132
2023-24,Cuttack,Summer,Groundnut,1266,24.14,30561
2023-24,Cuttack,Summer,Mustard,,,
2023-24,Cuttack,Summer,Nizer,,,
2023-24,Cuttack,Summer,Jute,,,
2023-24,Cuttack,Summer,Potato,,,
2023-24,Cuttack,Summer,Sugarcane,,,
2023-24,Cuttack,Winter,Wheat,,,
2023-24,Cuttack,Winter,Maize,37,39.04,1444
2023-24,Cuttack,Winter,Ragi,181,9.9,1792
2023-24,Cuttack,Winter,Mung,123,3.24,399
2023-24,Cuttack,Winter,Biri,10826,4.4,47634
2023-24,Cuttack,Winter,Kulthi,4000,4.68,18720
2023-24,Cuttack,Winter,Til,,,
2023-24,Cuttack,Winter,Groundnut,130,24.84,3229
2023-24,Cuttack,Winter,Mustard,135,2.3,311
2023-24,Cuttack,Winter,Nizer,,,
2023-24,Cuttack,Winter,Jute,,,
2023-24,Cuttack,Winter,Potato,681,166.47,113366
2023-24,Cuttack,Winter,Sugarcane,753,667,502251
2023-24,Deogarh,Autumn,Wheat,,,
2023-24,Deogarh,Autumn,Maize,108,21.18,2287
2023-24,Deogarh,Autumn,Ragi,,,
2023-24,Deogarh,Autumn,Mung,61,2.95,180
2023-24,Deogarh,Autumn,Biri,94,3.21,302
2023-24,Deogarh,Autumn,Kulthi,,,
2023-24,Deogarh,Autumn,Til,10,2.17,22
2023-24,Deogarh,Autumn,Groundnut,110,26.84,2952
2023-24,Deogarh,Autumn,Mustard,,,
2023-24,Deogarh,Autumn,Nizer,,,
2023-24,Deogarh,Autumn,Jute,,,
2023-24,Deogarh,Autumn,Potato,,,
2023-24,Deogarh,Autumn,Sugarcane,,,
2023-24,Deogarh,Summer,Wheat,S,15.29,
2023-24,Deogarh,Summer,Maize,7,19.94,140
2023-24,Deogarh,Summer,Ragi,1,1.62,2
2023-24,Deogarh,Summer,Mung,279,3.5,977
2023-24,Deogarh,Summer,Biri,48,3.89,187
2023-24,Deogarh,Summer,Kulthi,,,
2023-24,Deogarh,Summer,Til,201,2.66,535
2023-24,Deogarh,Summer,Groundnut,226,35.31,7980
2023-24,Deogarh,Summer,Mustard,,,
2023-24,Deogarh,Summer,Nizer,,,
2023-24,Deogarh,Summer,Jute,,,
2023-24,Deogarh,Summer,Potato,,,
2023-24,Deogarh,Summer,Sugarcane,,,
2023-24,Deogarh,Winter,Wheat,,,
2023-24,Deogarh,Winter,Maize,,,
2023-24,Deogarh,Winter,Ragi,50,4.39,220
2023-24,Deogarh,Winter,Mung,115,3.52,405
2023-24,Deogarh,Winter,Biri,51,3.73,190
2023-24,Deogarh,Winter,Kulthi,304,4.2,1277
2023-24,Deogarh,Winter,Til,349,2.24,782
2023-24,Deogarh,Winter,Groundnut,,,
2023-24,Deogarh,Winter,Mustard,387,2.49,964
2023-24,Deogarh,Winter,Nizer,,,
2023-24,Deogarh,Winter,Jute,,,
2023-24,Deogarh,Winter,Potato,368,111.46,41017
2023-24,Deogarh,Winter,Sugarcane,15,540.89,8113
2023-24,Dhenkanal,Autumn,Wheat,,,
2023-24,Dhenkanal,Autumn,Maize,89,20.55,1829
2023-24,Dhenkanal,Autumn,Ragi,255,7.23,1844
2023-24,Dhenkanal,Autumn,Mung,2,4.91,10
2023-24,Dhenkanal,Autumn,Biri,3,3.41,10
2023-24,Dhenkanal,Autumn,Kulthi,,,
2023-24,Dhenkanal,Autumn,Til,25,2.13,53
2023-24,Dhenkanal,Autumn,Groundnut,55,16.78,923
2023-24,Dhenkanal,Autumn,Mustard,,,
2023-24,Dhenkanal,Autumn,Nizer,,,
2023-24,Dhenkanal,Autumn,Jute,1,11.69,12
2023-24,Dhenkanal,Autumn,Potato,,,
2023-24,Dhenkanal,Autumn,Sugarcane,,,
2023-24,Dhenkanal,Summer,Wheat,41,21.22,870
2023-24,Dhenkanal,Summer,Maize,201,32.23,6478
2023-24,Dhenkanal,Summer,Ragi,35,7.66,268
2023-24,Dhenkanal,Summer,Mung,3273,5.81,19016
2023-24,Dhenkanal,Summer,Biri,65,5.84,380
2023-24,Dhenkanal,Summer,Kulthi,81,4.86,394
2023-24,Dhenkanal,Summer,Til,153,3.68,563
2023-24,Dhenkanal,Summer,Groundnut,433,26.24,11362
2023-24,Dhenkanal,Summer,Mustard,,,
2023-24,Dhenkanal,Summer,Nizer,,,
2023-24,Dhenkanal,Summer,Jute,,,
2023-24,Dhenkanal,Summer,Potato,,,
2023-24,Dhenkanal,Summer,Sugarcane,,,
2023-24,Dhenkanal,Winter,Wheat,,,
2023-24,Dhenkanal,Winter,Maize,144,34.43,4958
2023-24,Dhenkanal,Winter,Ragi,85,6.82,580
2023-24,Dhenkanal,Winter,Mung,330,5.89,1944
2023-24,Dhenkanal,Winter,Biri,2643,6.29,16624
2023-24,Dhenkanal,Winter,Kulthi,1015,5.46,5542
2023-24,Dhenkanal,Winter,Til,217,3.36,729
2023-24,Dhenkanal,Winter,Groundnut,719,24.52,17630
2023-24,Dhenkanal,Winter,Mustard,315,2.56,806
2023-24,Dhenkanal,Winter,Nizer,,,
2023-24,Dhenkanal,Winter,Jute,,,
2023-24,Dhenkanal,Winter,Potato,275,177.04,48686
2023-24,Dhenkanal,Winter,Sugarcane,436,706.24,307921
2023-24,Gajapati,Autumn,Wheat,,,
2023-24,Gajapati,Autumn,Maize,12919,24.95,322329
2023-24,Gajapati,Autumn,Ragi,1004,9.58,9618
2023-24,Gajapati,Autumn,Mung,,,
2023-24,Gajapati,Autumn,Biri,,,
2023-24,Gajapati,Autumn,Kulthi,,,
2023-24,Gajapati,Autumn,Til,,,
2023-24,Gajapati,Autumn,Groundnut,65,16.67,1084
2023-24,Gajapati,Autumn,Mustard,,,
2023-24,Gajapati,Autumn,Nizer,,,
2023-24,Gajapati,Autumn,Jute,,,
2023-24,Gajapati,Autumn,Potato,,,
2023-24,Gajapati,Autumn,Sugarcane,,,
2023-24,Gajapati,Summer,Wheat,,,
2023-24,Gajapati,Summer,Maize,19,21.11,401
2023-24,Gajapati,Summer,Ragi,111,8.59,953
2023-24,Gajapati,Summer,Mung,,,
2023-24,Gajapati,Summer,Biri,,,
2023-24,Gajapati,Summer,Kulthi,,,
2023-24,Gajapati,Summer,Til,2414,2.22,5359
2023-24,Gajapati,Summer,Groundnut,474,18.42,8731
2023-24,Gajapati,Summer,Mustard,,,
2023-24,Gajapati,Summer,Nizer,,,
2023-24,Gajapati,Summer,Jute,,,
2023-24,Gajapati,Summer,Potato,,,
2023-24,Gajapati,Summer,Sugarcane,,,
2023-24,Gajapati,Winter,Wheat,,,
2023-24,Gajapati,Winter,Maize,,,
2023-24,Gajapati,Winter,Ragi,,,
2023-24,Gajapati,Winter,Mung,1510,2.43,3669
2023-24,Gajapati,Winter,Biri,2206,2.4,5294
2023-24,Gajapati,Winter,Kulthi,263,2.43,639
2023-24,Gajapati,Winter,Til,S,1.52,
2023-24,Gajapati,Winter,Groundnut,,,
2023-24,Gajapati,Winter,Mustard,42,1.17,49
2023-24,Gajapati,Winter,Nizer,5,1.58,8
2023-24,Gajapati,Winter,Jute,,,
2023-24,Gajapati,Winter,Potato,4,35.58,142
2023-24,Gajapati,Winter,Sugarcane,,,
2023-24,Ganjam,Autumn,Wheat,,,
2023-24,Ganjam,Autumn,Maize,1021,27.09,27655
2023-24,Ganjam,Autumn,Ragi,1518,10.26,15575
2023-24,Ganjam,Autumn,Mung,,,
2023-24,Ganjam,Autumn,Biri,82,2.6,213
2023-24,Ganjam,Autumn,Kulthi,,,
2023-24,Ganjam,Autumn,Til,,,
2023-24,Ganjam,Autumn,Groundnut,213,17.42,3710
2023-24,Ganjam,Autumn,Mustard,,,
2023-24,Ganjam,Autumn,Nizer,,,
2023-24,Ganjam,Autumn,Jute,,,
2023-24,Ganjam,Autumn,Potato,,,
2023-24,Ganjam,Autumn,Sugarcane,,,
2023-24,Ganjam,Summer,Wheat,,,
2023-24,Ganjam,Summer,Maize,16,22.58,361
2023-24,Ganjam,Summer,Ragi,47,11.78,554
2023-24,Ganjam,Summer,Mung,,,
2023-24,Ganjam,Summer,Biri,,,
2023-24,Ganjam,Summer,Kulthi,,,
2023-24,Ganjam,Summer,Til,6783,1.69,11463
2023-24,Ganjam,Summer,Groundnut,1839,21.88,40237
2023-24,Ganjam,Summer,Mustard,,,
2023-24,Ganjam,Summer,Nizer,,,
2023-24,Ganjam,Summer,Jute,,,
2023-24,Ganjam,Summer,Potato,,,
2023-24,Ganjam,Summer,Sugarcane,,,
2023-24,Ganjam,Winter,Wheat,,,
2023-24,Ganjam,Winter,Maize,,,
2023-24,Ganjam,Winter,Ragi,,,
2023-24,Ganjam,Winter,Mung,61372,2.56,157112
2023-24,Ganjam,Winter,Biri,13257,2.44,32347
2023-24,Ganjam,Winter,Kulthi,1902,2.71,5154
2023-24,Ganjam,Winter,Til,,,
2023-24,Ganjam,Winter,Groundnut,,,
2023-24,Ganjam,Winter,Mustard,24,1.77,42
2023-24,Ganjam,Winter,Nizer,,,
2023-24,Ganjam,Winter,Jute,,,
2023-24,Ganjam,Winter,Potato,283,131.09,37098
2023-24,Ganjam,Winter,Sugarcane,310,800.14,248043
2023-24,Jagatsinghpur,Autumn,Wheat,,,
2023-24,Jagatsinghpur,Autumn,Maize,,,
2023-24,Jagatsinghpur,Autumn,Ragi,,,
2023-24,Jagatsinghpur,Autumn,Mung,,,
2023-24,Jagatsinghpur,Autumn,Biri,,,
2023-24,Jagatsinghpur,Autumn,Kulthi,,,
2023-24,Jagatsinghpur,Autumn,Til,,,
2023-24,Jagatsinghpur,Autumn,Groundnut,,,
2023-24,Jagatsinghpur,Autumn,Mustard,,,
2023-24,Jagatsinghpur,Autumn,Nizer,,,
2023-24,Jagatsinghpur,Autumn,Jute,,,
2023-24,Jagatsinghpur,Autumn,Potato,,,
2023-24,Jagatsinghpur,Autumn,Sugarcane,,,
2023-24,Jagatsinghpur,Summer,Wheat,,,
2023-24,Jagatsinghpur,Summer,Maize,S,29.3,
2023-24,Jagatsinghpur,Summer,Ragi,12,5.86,70
2023-24,Jagatsinghpur,Summer,Mung,37080,4.52,167602
